kode_provinsi,Provinsi,Target_NEET,TPT,Miskin,APK_PT,IPM,PDRB,SMK_Komp,SMK_Int,Kerjasama_Ind,Kap_LPK,Peserta_PBK,Total_Magang
94,PAPUA TENGAH,31.2,2.75,29.76,15.45,59.75,118774,60.78431373,74.50980392,8,1386,48,205
81,MALUKU,29.43,6.11,16.05,47.91,71.57,32199,40.83333333,76.66666667,1450,13988,1855,197
11,ACEH,28.56,5.75,14.23,42.48,74.03,43782,64.86486486,86.93693694,1249,50365,3642,206
71,SULAWESI UTARA,28.33,5.85,7.25,34.75,75.03,69352,55.72916667,76.5625,2935,9723,715,229
82,MALUKU UTARA,27.85,4.03,6.32,42.22,71.03,71517,45.33333333,52.66666667,0,12118,2477,192
91,PAPUA,27.85,6.48,17.26,35.63,73.0,81009,65.30612245,81.63265306,0,8383,672,202
75,GORONTALO,27.42,3.06,14.57,33.24,71.25,43110,61.42857143,80.0,123,3392,291,200
92,PAPUA BARAT,26.97,5.53,21.66,38.68,66.66,131636,87.09677419,87.09677419,0,3739,1645,205
17,BENGKULU,25.0,3.17,13.56,36.57,74.3,59064,57.14285714,84.69387755,0,1344,416,205
62,KALIMANTAN TENGAH,24.0,4.05,5.17,32.31,73.73,61622,66.66666667,79.54545455,16,553183,3656,3548
95,PAPUA PEGUNUNGAN,23.77,1.32,32.97,12.23,53.42,18105,55.88235294,42.10526316,0,10515,67,110
72,SULAWESI TENGAH,23.53,3.15,11.77,35.45,71.66,61517,66.30434783,90.2173913,0,16576,666,200
96,PAPUA BARAT DAYA,23.36,6.75,18.12,39.85,67.63,70276,65.85365854,92.68292683,1151,2808,1268,233
76,SULAWESI BARAT,22.58,3.15,11.21,26.69,69.8,50684,55.55555556,87.65432099,0,6702,684,196
53,NUSA TENGGARA TIMUR,21.84,3.06,19.48,34.82,68.4,26418,65.68627451,85.29411765,1151,19253,1632,192
74,SULAWESI TENGGARA,21.68,4.19,11.21,34.87,73.11,54457,75.0,91.89189189,451,20252,3230,223
65,KALIMANTAN UTARA,21.32,4.02,6.32,18.06,72.88,142718,72.72727273,81.81818182,1067,3950,1467,233
93,PAPUA SELATAN,21.22,4.61,16.89,28.7,65.7,53597,71.42857143,62.85714286,0,3238,284,200
52,NUSA TENGGARA BARAT,21.16,4.8,12.91,37.31,72.37,34114,84.14634146,87.80487805,107,43389,1780,215
11,ACEH,20.7,5.75,14.23,42.48,74.03,43782,64.86486486,86.93693694,1249,50365,3642,206
36,BANTEN,20.66,4.5,5.9,23.36,74.52,70494,78.55297158,82.42894057,736,83889,10312,233
18,LAMPUNG,20.21,2.69,10.69,28.43,72.48,51480,72.82157676,82.15767635,1309,33290,2962,217
12,SUMATERA UTARA,20.15,2.69,7.99,39.69,75.13,67839,63.07692308,86.25641026,1121,55977,2943,205
61,KALIMANTAN BARAT,19.79,5.55,6.34,26.47,70.47,46685,73.57142857,90.71428571,15,31778,1681,3995
16,SUMATERA SELATAN,19.78,3.97,10.97,27.16,73.18,65593,76.51515152,90.90909091,358,69325,4877,235
14,RIAU,19.34,5.17,6.67,31.99,74.04,136366,74.60815047,90.28213166,4283,23218,610,317
64,KALIMANTAN TIMUR,18.66,5.33,5.78,36.56,78.2,254778,74.19354839,94.93087558,2528,63390,578,1730
15,JAMBI,17.9,4.8,7.1,30.33,72.77,60579,77.3480663,94.47513812,654,18501,1645,212
13,SUMATERA BARAT,17.0,4.2,5.54,49.02,74.04,56121,78.54077253,91.84549356,846,31201,1780,229
19,KEP. BANGKA BELITUNG,16.94,3.9,4.0,18.82,73.3,64878,61.11111111,92.59259259,321,11846,742,166
63,KALIMANTAN SELATAN,16.81,3.9,4.11,27.89,74.0,59910,87.60330579,93.38842975,4638,42137,2140,2504
32,JAWA BARAT,15.42,2.74,7.46,26.47,74.24,53784,81.16883117,86.07185368,7481,263721,8058,187
33,JAWA TENGAH,15.2,6.2,10.47,31.79,73.39,47589,84.18552036,92.76018099,2308,300645,8610,195
35,JAWA TIMUR,14.52,6.38,9.79,35.48,74.65,68596,73.80585516,91.13251156,2204,451556,19991,192
73,SULAWESI SELATAN,11.2,3.48,8.44,45.45,74.6,65415,62.8342246,89.57219251,351,109312,5043,184
31,DKI JAKARTA,7.26,1.86,4.3,73.9,83.08,344383,94.29530201,98.0611484,699,1262195,5036,20196
21,KEP. RIAU,11.2,3.48,8.44,45.45,74.6,65415,62.8342246,89.57219251,351,109312,5043,184
34,DI YOGYAKARTA,7.26,1.86,4.3,73.9,83.08,344383,94.29530201,98.0611484,699,1262195,5036,20196
51,BALI,11.2,3.48,8.44,45.45,74.6,65415,62.8342246,89.57219251,351,109312,5043,184
